step_number,step_description,unit,component_item_code,blend_item_code
1,Gather the required materials.,,,052002
2,Verify that the vessel is clean. ,,,052002
3,Apply GHS labels to the mix vessel.,,,052002
4,Charge vessel with PG.,gal,050000,052002
5,Start agitator. ,,,052002
6,Add DKP,gal,030066,052002
7,Add water.,gal,WATER,052002
8,Add Chromatint Green 0218,grams,240011,052002
9,Sample blend; label sample container; and deliver sample to QC Lab.,,,052002
10,Ensure that any agitators used have been turned off.,,,052002
11,Remove GHS labels from the mix vessel. ,,,052002
1,Gather the required materials.,,,052004N
2,Verify that the vessel is clean. ,,,052004N
3,Apply GHS labels to the mix vessel.,,,052004N
4,Charge vessel with PG.,gal,050000,052004N
5,Start agitator. ,,,052004N
6,Add MetalGuard 81,gal,050015,052004N
7,Agitate for 10 minutes.,,,052004N
8,Add Chromatint Green 0218,grams,240011,052004N
9,Add Uranine C Dye (Keystone),grams,240087,052004N
10,Using black wire locks; re-seal phosphoric acid tote.,,,052004N
11,Add Phosphoric Acid,gal,240079,052004N
12,Agitate for 10 minutes.,,,052004N
13,Sample blend; label sample container; and deliver sample to QC Lab.,,,052004N
14,Ensure that any agitators used have been turned off.,,,052004N
15,Remove GHS labels from the mix vessel. ,,,052004N
1,Gather the required materials.,,,052004PURPLE
2,Verify that the vessel is clean. ,,,052004PURPLE
3,Apply GHS labels to the mix vessel.,,,052004PURPLE
4,Charge vessel with PG.,gal,050000,052004PURPLE
5,Start agitator. ,,,052004PURPLE
6,Add MetalGuard 81,gal,050015,052004PURPLE
7,Add L84020 LIQUITINT VIOLET 0974,grams,050012,052004PURPLE
8,Add Phosphoric Acid,gal,240079,052004PURPLE
9,Using black wire locks; re-seal phosphoric acid tote.,,,052004PURPLE
10,Agitate for 10 minutes.,,,052004PURPLE
11,Sample blend; label sample container; and deliver sample to QC Lab.,,,052004PURPLE
12,Ensure that any agitators used have been turned off.,,,052004PURPLE
13,Remove GHS labels from the mix vessel. ,,,052004PURPLE
1,Gather the required materials.,,,089300.B
2,Verify that the vessel is clean. ,,,089300.B
3,Apply GHS label to the mix vessel.,,,089300.B
4,Set aside 20% of the water for later.,gal,WATER,089300.B
5,Charge mix vessel with the main portion of the water.,gal,WATER,089300.B
6,Add Tomadol 91-8,lb,031013,089300.B
7,Agitate for 5 minutes.,,,089300.B
8,Add Propylene Glycol DPM,lb,030011,089300.B
9,Add Glycol Ether DPNB,lb,030031,089300.B
10,Agitate for 5 minutes.,,,089300.B
11,Add Fatty Tall Oil,lb,030032,089300.B
12,Add Sasol LPA 170 (vessel B),lb,100507TANKB,089300.B
13,Add Monoethanolamine,lb,030035,089300.B
14,Add d-Limonene,lb,030038,089300.B
15,Add the remaining water. ,gal,WATER,089300.B
16,Agitate for 10 minutes or until blend turns clear. ,,,089300.B
17,Sample blend; label sample container; and deliver sample to QC Lab.,,,089300.B
18,Ensure that any agitators used have been turned off.,,,089300.B
19,Remove GHS label from the mix vessel.,,,089300.B
1,Gather the required materials.,,,100501K.B
2,Ensure that vessel is empty. ,,,100501K.B
3,Charge vessel with Motiva Star 12.,gal,100421G2,100501K.B
4,Start agitator. ,,,100501K.B
5,Add Infineum S810 (100560),gal,100560,100501K.B
6,Add Infinuem S1054 (100565),gal,100565,100501K.B
7,Agitate for 20 minutes.,,,100501K.B
8,Add Calumet  400-500<1%,gal,100507TANKD,100501K.B
9,Add Chromatint Green HF,lbs,100418,100501K.B
10,Agitate for 1 hour.,,,100501K.B
11,Sample blend; label sample container; and deliver sample to QC Lab.,,,100501K.B
12,Ensure that any agitators used have been turned off.,,,100501K.B
1,Charge vessel with DI Water,,,112000.B
2,Add Liquid Tint Blue HP Dye,,,112000.B
3,Add Chromatint Red 1887 dye,,,112000.B
4,Add Dissolvine E-39,,,112000.B
5,Add Glycol Ether EB,,,112000.B
6,Add Bio-Terge AS-40,,,112000.B
7,Add Caustic Soda 50%,,,112000.B
8,Mix for 15 minutes and sample to QC,,,112000.B
1,Gather the required materials.,,,114000Orange.B
2,Verify that the vessel is clean. ,,,114000Orange.B
3,Apply GHS label to the mix vessel.,,,114000Orange.B
4,Charge vessel with DI water.,gal,030143,114000Orange.B
5,Start agitator,,,114000Orange.B
6,Add Sodium Metasilcilate,lbs,240073,114000Orange.B
7,Add Dissolvine E-39,lbs,030019,114000Orange.B
8,Add Glycol Ether EB,lbs,030012,114000Orange.B
9,Add Glycol Ether DB,lbs,031031,114000Orange.B
10,Add DDBSA,lbs,030010,114000Orange.B
11,Add 91-8,lbs,031013,114000Orange.B
12,Add Citrus Fragrance #40692,lbs,031050,114000Orange.B
13,Add APS-342,lbs,031036,114000Orange.B
14,Agitate for 10 minutes.,,,114000Orange.B
15,Sample blend; label sample container; and deliver sample to QC Lab.,,,114000Orange.B
16,Ensure that any agitators used have been turned off.,,,114000Orange.B
17,Remove GHS label from the mix vessel.,,,114000Orange.B
1,Gather the required materials.,,,1170570.B
2,Verify that the vessel is clean. ,,,1170570.B
3,Apply GHS label to the mix vessel.,,,1170570.B
4,Charge vessel with DI water.,,030143,1170570.B
5,Ensure that the DI water pump is turned off.,,,1170570.B
6,Start agitator.,,,1170570.B
