StepNumber,Step,Unit,PartNumber,id,blend_item_code,trimmed_item_code,Unnamed: 4,Unnamed: 5
1,Gather the required materials.,,,1,052002,052002,,
2,Verify that the vessel is clean. ,,,2,052002,052002,,
3,Apply GHS labels to the mix vessel.,,,3,052002,052002,,
4,Charge vessel with PG.,gal,050000,4,052002,052002,,
5,Start agitator. ,,,5,052002,052002,,
6,Add DKP,gal,030066,6,052002,052002,,
7,Add water.,gal,WATER,7,052002,052002,,
8,Add Chromatint Green 0218,grams,240011,8,052002,052002,,
9,Sample blend; label sample container; and deliver sample to QC Lab.,,,9,052002,052002,,
10,Ensure that any agitators used have been turned off.,,,10,052002,052002,,
11,Remove GHS labels from the mix vessel. ,,,11,052002,052002,,
1,Gather the required materials.,,,1,052004N,052004N,,
2,Verify that the vessel is clean. ,,,2,052004N,052004N,,
3,Apply GHS labels to the mix vessel.,,,3,052004N,052004N,,
4,Charge vessel with PG.,gal,050000,4,052004N,052004N,,
5,Start agitator. ,,,5,052004N,052004N,,
6,Add MetalGuard 81,gal,050015,6,052004N,052004N,,
7,Agitate for 10 minutes.,,,7,052004N,052004N,,
8,Add Chromatint Green 0218,grams,240011,8,052004N,052004N,,
9,Add Uranine C Dye (Keystone),grams,240087,9,052004N,052004N,,
10,Using black wire locks; re-seal phosphoric acid tote.,,,10,052004N,052004N,,
11,Add Phosphoric Acid,gal,240079,11,052004N,052004N,,
12,Agitate for 10 minutes.,,,12,052004N,052004N,,
13,Sample blend; label sample container; and deliver sample to QC Lab.,,,13,052004N,052004N,,
14,Ensure that any agitators used have been turned off.,,,14,052004N,052004N,,
15,Remove GHS labels from the mix vessel. ,,,15,052004N,052004N,,
1,Gather the required materials.,,,1,052004PURPLE,052004PURPLE,,
2,Verify that the vessel is clean. ,,,2,052004PURPLE,052004PURPLE,,
3,Apply GHS labels to the mix vessel.,,,3,052004PURPLE,052004PURPLE,,
4,Charge vessel with PG.,gal,050000,4,052004PURPLE,052004PURPLE,,
5,Start agitator. ,,,5,052004PURPLE,052004PURPLE,,
6,Add MetalGuard 81,gal,050015,6,052004PURPLE,052004PURPLE,,
7,Add L84020 LIQUITINT VIOLET 0974,grams,050012,7,052004PURPLE,052004PURPLE,,
8,Add Phosphoric Acid,gal,240079,8,052004PURPLE,052004PURPLE,,
9,Using black wire locks; re-seal phosphoric acid tote.,,,9,052004PURPLE,052004PURPLE,,
10,Agitate for 10 minutes.,,,10,052004PURPLE,052004PURPLE,,
11,Sample blend; label sample container; and deliver sample to QC Lab.,,,11,052004PURPLE,052004PURPLE,,
12,Ensure that any agitators used have been turned off.,,,12,052004PURPLE,052004PURPLE,,
13,Remove GHS labels from the mix vessel. ,,,13,052004PURPLE,052004PURPLE,,
1,Gather the required materials.,,,1,089300.B,089300B,,
2,Verify that the vessel is clean. ,,,2,089300.B,089300B,,
3,Apply GHS label to the mix vessel.,,,3,089300.B,089300B,,
4,Set aside 20% of the water for later.,gal,WATER,4,089300.B,089300B,,
5,Charge mix vessel with the main portion of the water.,gal,WATER,5,089300.B,089300B,,
6,Add Tomadol 91-8,lb,031013,6,089300.B,089300B,,
7,Agitate for 5 minutes.,,,7,089300.B,089300B,,
8,Add Propylene Glycol DPM,lb,030011,8,089300.B,089300B,,
9,Add Glycol Ether DPNB,lb,030031,9,089300.B,089300B,,
10,Agitate for 5 minutes.,,,10,089300.B,089300B,,
11,Add Fatty Tall Oil,lb,030032,11,089300.B,089300B,,
12,Add Sasol LPA 170 (vessel B),lb,100507TANKB,12,089300.B,089300B,,
13,Add Monoethanolamine,lb,030035,13,089300.B,089300B,,
14,Add d-Limonene,lb,030038,14,089300.B,089300B,,
15,Add the remaining water. ,gal,WATER,15,089300.B,089300B,,
16,Agitate for 10 minutes or until blend turns clear. ,,,16,089300.B,089300B,,
17,Sample blend; label sample container; and deliver sample to QC Lab.,,,17,089300.B,089300B,,
18,Ensure that any agitators used have been turned off.,,,18,089300.B,089300B,,
19,Remove GHS label from the mix vessel.,,,19,089300.B,089300B,,
1,Gather the required materials.,,,1,100501K.B,100501KB,,
2,Ensure that vessel is empty. ,,,2,100501K.B,100501KB,,
3,Charge vessel with Motiva Star 12.,gal,100421G2,3,100501K.B,100501KB,,
4,Start agitator. ,,,4,100501K.B,100501KB,,
5,Add Infineum S810 (100560),gal,100560,5,100501K.B,100501KB,,
6,Add Infinuem S1054 (100565),gal,100565,6,100501K.B,100501KB,,
7,Agitate for 20 minutes.,,,7,100501K.B,100501KB,,
8,Add Calumet  400-500<1%,gal,100507TANKD,8,100501K.B,100501KB,,
9,Add Chromatint Green HF,lbs,100418,9,100501K.B,100501KB,,
10,Agitate for 1 hour.,,,10,100501K.B,100501KB,,
11,Sample blend; label sample container; and deliver sample to QC Lab.,,,11,100501K.B,100501KB,,
12,Ensure that any agitators used have been turned off.,,,12,100501K.B,100501KB,,
1,Charge vessel with DI Water,,,1,112000.B,112000B,gal,
2,Add Liquid Tint Blue HP Dye,,,2,112000.B,112000B,grams,
3,Add Chromatint Red 1887 dye,,,3,112000.B,112000B,grams,
4,Add Dissolvine E-39,,,4,112000.B,112000B,lbs,
5,Add Glycol Ether EB,,,5,112000.B,112000B,lbs,
6,Add Bio-Terge AS-40,,,6,112000.B,112000B,lbs,
7,Add Caustic Soda 50%,,,7,112000.B,112000B,lbs,
8,Mix for 15 minutes and sample to QC,,,8,112000.B,112000B,,
1,Gather the required materials.,,,1,114000Orange.B,114000OrangeB,,
2,Verify that the vessel is clean. ,,,2,114000Orange.B,114000OrangeB,,
3,Apply GHS label to the mix vessel.,,,3,114000Orange.B,114000OrangeB,,
4,Charge vessel with DI water.,gal,030143,4,114000Orange.B,114000OrangeB,,
5,Start agitator,,,5,114000Orange.B,114000OrangeB,,
6,Add Sodium Metasilcilate,lbs,240073,6,114000Orange.B,114000OrangeB,,
7,Add Dissolvine E-39,lbs,030019,7,114000Orange.B,114000OrangeB,,
8,Add Glycol Ether EB,lbs,030012,8,114000Orange.B,114000OrangeB,,
9,Add Glycol Ether DB,lbs,031031,9,114000Orange.B,114000OrangeB,,
10,Add DDBSA,lbs,030010,10,114000Orange.B,114000OrangeB,,
11,Add 91-8,lbs,031013,11,114000Orange.B,114000OrangeB,,
12,Add Citrus Fragrance #40692,lbs,031050,12,114000Orange.B,114000OrangeB,,
13,Add APS-342,lbs,031036,13,114000Orange.B,114000OrangeB,,
14,Agitate for 10 minutes.,,,14,114000Orange.B,114000OrangeB,,
15,Sample blend; label sample container; and deliver sample to QC Lab.,,,15,114000Orange.B,114000OrangeB,,
16,Ensure that any agitators used have been turned off.,,,16,114000Orange.B,114000OrangeB,,
17,Remove GHS label from the mix vessel.,,,17,114000Orange.B,114000OrangeB,,
1,Gather the required materials.,,,1,1170570.B,1170570B,,
2,Verify that the vessel is clean. ,,,2,1170570.B,1170570B,,
3,Apply GHS label to the mix vessel.,,,3,1170570.B,1170570B,,
4,Charge vessel with DI water.,,030143,4,1170570.B,1170570B,,
5,Ensure that the DI water pump is turned off.,,,5,1170570.B,1170570B,,
6,Start agitator.,,,6,1170570.B,1170570B,,
7,Add Calcium Nitrate 66% (GEP66),,100408,7,1170570.B,1170570B,,
8,Add Preventol D7,,030146P,8,1170570.B,1170570B,,
9,Measure up Chromatint Green 1707 dye; making sure to shake dye pail,,,9,1170570.B,1170570B,,
10,Add Chromatint Green 1707,,030181,10,1170570.B,1170570B,,
11,Agitate for 10 minutes.,,,11,1170570.B,1170570B,,
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,12,1170570.B,1170570B,,
13,Ensure that any agitators used have been turned off.,,,13,1170570.B,1170570B,,
14,Remove GHS label from the mix vessel.,,,14,1170570.B,1170570B,,
1,Gather the required materials.,,,1,128695.B,128695B,,
2,Verify that the vessel is clean. ,,,2,128695.B,128695B,,
3,Apply GHS label to the mix vessel.,,,3,128695.B,128695B,,
4,Charge vessel with water.,lbs,WATER,4,128695.B,128695B,,
5,Add Evogen Multi-Purpose 10XF,lbs,030106,5,128695.B,128695B,,
6,Add Chromatint 1102 Green Dye,grams,100438,6,128695.B,128695B,,
7,Agitate for 15 minutes.,,,7,128695.B,128695B,,
8,Sample blend; label sample container; and deliver sample to QC Lab.,,,8,128695.B,128695B,,
9,Ensure that any agitators used have been turned off.,,,9,128695.B,128695B,,
10,Remove GHS label from the mix vessel.,,,10,128695.B,128695B,,
1,Gather the required materials.,,,1,14308.B,14308B,,
2,Verify that the vessel is clean.,,,2,14308.B,14308B,,
3,Change all sock filters and water trap filters.,,,3,14308.B,14308B,,
4,Agitate enzyme drums for 3 minutes before using.,,,4,14308.B,14308B,,
