,ItemCode, WarehouseCode, BinLocation, ReorderMethod, QuantityOnHand, QuantityOnPurchaseOrder, QuantityOnSalesOrder, QuantityOnBackOrder, AverageCost, QuantityRequiredForWO, EconomicOrderQty, ReorderPointQty, MinimumOrderQty, MaximumOnHandQty, QuantityOnWorkOrder, QuantityInShipping, TotalWarehouseValue, CostCalcQtyCommitted, CostCalcCostCommitted, DateCreated, TimeCreated, UserCreatedKey, DateUpdated, TimeUpdated, UserUpdatedKey, LastPhysicalCountDate
0,00001,000,,E,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
1,00001,MTG,,E,0.000000,0.000000,0.000000,0.000000,5.703300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
2,00010,MTG,,E,0.000000,0.000000,0.000000,0.000000,6.108200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
3,00010G55,MTG,,E,0.000000,0.000000,0.000000,0.000000,46.267400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
4,00040,MTG,,E,0.000000,0.000000,0.000000,0.000000,23.879300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
5,00040A1,MTG,,E,0.000000,0.000000,0.000000,0.000000,0.035400,0.000000,0.000000,0.000000,3000.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
6,00040A1,SSI,,E,0.000000,0.000000,0.000000,0.000000,0.035400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
7,00040A2,MTG,,E,0.000000,0.000000,0.000000,0.000000,0.031300,0.000000,0.000000,0.000000,3000.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
8,00040A2,SSI,,E,0.000000,0.000000,0.000000,0.000000,0.031300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
9,00060,MTG,,E,0.000000,0.000000,0.000000,0.000000,14.998900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
10,00060A1,MTG,,E,0.000000,0.000000,0.000000,0.000000,0.035400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
11,00060A1,SSI,,E,0.000000,0.000000,0.000000,0.000000,0.035400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
12,00060A2,MTG,,E,0.000000,0.000000,0.000000,0.000000,0.031300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
13,00060A2,SSI,,E,0.000000,0.000000,0.000000,0.000000,0.031300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
14,00080,MTG,,E,0.000000,0.000000,0.000000,0.000000,3.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
15,00080,REW,,E,0.000000,0.000000,0.000000,0.000000,1.969300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
16,00080G55,MTG,,E,0.000000,0.000000,0.000000,0.000000,29.596200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
17,0009657,MTG,,E,0.000000,0.000000,0.000000,0.000000,9.922800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
18,00200,MTG,,E,0.000000,0.000000,0.000000,0.000000,6.068976,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
19,00200.B,MTG,,E,0.000000,0.000000,0.000000,0.000000,1.066800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
20,00200A1,MTG,,E,0.000000,0.000000,0.000000,0.000000,0.000100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
21,00200A1,SSI,,E,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
22,00200A2,MTG,,E,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
23,00200A2,SSI,,E,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
24,0085107,MTG,,E,0.000000,0.000000,0.000000,0.000000,3.412400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2020-05-28,9.88529,0000000007,2022-10-01,12.25146,0000000055,2022-09-30
25,00AK10P1,MTG,,E,0.000000,0.000000,0.000000,0.000000,0.121600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2012-03-21,13.77268,0000000007,2022-10-01,12.25146,0000000055,2022-09-30
26,00AK25P1,MTG,,E,0.000000,0.000000,0.000000,0.000000,0.121600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2012-05-11,5.7507,0000000007,2022-10-01,12.25146,0000000055,2022-09-30
27,00AR15P1,MTG,,E,0.000000,0.000000,0.000000,0.000000,0.121700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2012-03-21,13.98336,0000000007,2022-10-01,12.25146,0000000055,2022-09-30
28,00RK25P1,MTG,,E,0.000000,0.000000,0.000000,0.000000,0.121600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2012-03-21,13.81383,0000000007,2022-10-01,12.25146,0000000055,2022-09-30
29,00SK15A1,MTG,,E,0.000000,0.000000,0.000000,0.000000,0.060500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2012-03-21,14.40839,0000000007,2022-10-01,12.25146,0000000055,2022-09-30
30,00SK15P1,MTG,,E,0.000000,0.000000,0.000000,0.000000,0.121600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2012-03-21,13.94341,0000000007,2022-10-01,12.25146,0000000055,2022-09-30
