,itemcode,warehousecode,transactiondate,transactioncode,transactionqty
0,022019,MTG,2019-01-03,BR,4620.000000
1,085116PC,MTG,2019-01-03,BR,250.000000
2,100120,MTG,2019-01-03,BR,2100.000000
3,022019,MTG,2019-01-04,BR,8085.000000
4,100120,MTG,2019-01-04,BR,2100.000000
5,022001,MTG,2019-01-07,BR,8534.000000
6,022019,MTG,2019-01-07,BR,6930.000000
7,050630,MTG,2019-01-07,BR,1657.000000
8,071622DGP-A,MTG,2019-01-07,BR,51.000000
9,071622DSN,MTG,2019-01-07,BR,100.000000
10,071622GF,MTG,2019-01-07,BR,100.000000
11,071622IF,MTG,2019-01-07,BR,30.000000
12,080116IF,MTG,2019-01-07,BR,10.000000
13,080116SP,MTG,2019-01-07,BR,10.000000
14,081022,MTG,2019-01-07,BR,50.000000
15,081022C,MTG,2019-01-07,BR,25.000000
16,083222DG,MTG,2019-01-07,BR,50.000000
17,083222GF,MTG,2019-01-07,BR,100.000000
18,083222P,MTG,2019-01-07,BR,351.000000
19,085116GF,MTG,2019-01-07,BR,100.000000
20,085116PW,MTG,2019-01-07,BR,150.000000
21,085716F,MTG,2019-01-07,BR,30.000000
22,085716GT,MTG,2019-01-07,BR,10.000000
23,085732F,MTG,2019-01-07,BR,20.000000
24,085732IF,MTG,2019-01-07,BR,26.000000
25,087308C,MTG,2019-01-07,BR,10.000000
26,087308GF,MTG,2019-01-07,BR,40.000000
27,088922P,MTG,2019-01-07,BR,100.000000
28,089970,MTG,2019-01-07,BR,50.000000
29,093032C,MTG,2019-01-07,BR,75.000000
30,093132DGP-A,MTG,2019-01-07,BR,49.000000
31,095122DGP-A,MTG,2019-01-07,BR,30.000000
32,095122DSN,MTG,2019-01-07,BR,98.000000
33,095222,MTG,2019-01-07,BR,125.000000
34,095222GF,MTG,2019-01-07,BR,30.000000
35,100120,MTG,2019-01-07,BR,2100.000000
36,102005-NP,MTG,2019-01-07,BR,30.000000
37,103000,MTG,2019-01-07,BR,100.000000
38,122032,MTG,2019-01-07,BR,30.000000
39,14308.B,MTG,2019-01-07,BR,4250.000000
40,14332,MTG,2019-01-07,BR,100.000000
41,14332UN,MTG,2019-01-07,BR,10.000000
42,15941420,MTG,2019-01-07,BR,50.000000
43,15941438,MTG,2019-01-07,BR,50.000000
44,15941446,MTG,2019-01-07,BR,35.000000
45,15941453,MTG,2019-01-07,BR,50.000000
46,19902.B,MTG,2019-01-07,BR,2500.000000
47,208367,MTG,2019-01-07,BR,1665.000000
48,208367V2.B,MTG,2019-01-07,BR,5100.000000
49,208367V2.B,MTG,2019-01-07,BR,5100.000000
50,235826-35.B,MTG,2019-01-07,BR,5100.000000
51,235826-35.B,MTG,2019-01-07,BR,5100.000000
52,238197-21,MTG,2019-01-07,BR,825.000000
53,238197-35.B,MTG,2019-01-07,BR,5100.000000
54,3704673,MTG,2019-01-07,BR,100.000000
55,52205,MTG,2019-01-07,BR,5.000000
56,602000,MTG,2019-01-07,BR,1250.000000
57,602017,MTG,2019-01-07,BR,1000.000000
58,602017,MTG,2019-01-07,BR,2500.000000
59,602020,MTG,2019-01-07,BR,1000.000000
60,602046,MTG,2019-01-07,BR,1000.000000
61,7841265,MTG,2019-01-07,BR,72.000000
62,7841265,MTG,2019-01-07,BR,24.000000
63,856G55,MTG,2019-01-07,BR,3.000000
64,96100.B,MTG,2019-01-07,BR,750.000000
65,BK.7652950,MTG,2019-01-07,BR,197.000000
66,BP25397,MTG,2019-01-07,BR,150.000000
67,BP2543742,MTG,2019-01-07,BR,100.000000
68,BP56639,MTG,2019-01-07,BR,79.000000
69,ET13710,MTG,2019-01-07,BR,101.000000
70,022001,MTG,2019-01-08,BR,12949.000000
71,022019,MTG,2019-01-08,BR,6930.000000
72,075032,MTG,2019-01-08,BR,50.000000
73,080532PW,MTG,2019-01-08,BR,100.000000
74,081318GF,MTG,2019-01-08,BR,30.000000
75,085616P,MTG,2019-01-08,BR,576.000000
76,085616P,MTG,2019-01-08,BR,1344.000000
77,085616PC,MTG,2019-01-08,BR,400.000000
78,087916,MTG,2019-01-08,BR,23.000000
79,087916N,MTG,2019-01-08,BR,50.000000
80,087932,MTG,2019-01-08,BR,50.000000
81,087932N,MTG,2019-01-08,BR,10.000000
82,088032,MTG,2019-01-08,BR,25.000000
83,089732GF,MTG,2019-01-08,BR,100.000000
84,089732PC,MTG,2019-01-08,BR,100.000000
85,089736P,MTG,2019-01-08,BR,100.000000
86,089965,MTG,2019-01-08,BR,20.000000
87,089990,MTG,2019-01-08,BR,50.000000
88,093132EF,MTG,2019-01-08,BR,30.000000
89,093932,MTG,2019-01-08,BR,50.000000
90,094100,MTG,2019-01-08,BR,63.000000
91,100120,MTG,2019-01-08,BR,2100.000000
92,100122,MTG,2019-01-08,BR,1575.000000
93,11167012,MTG,2019-01-08,BR,50.000000
94,114000ORANGE.B,MTG,2019-01-08,BR,1500.000000
95,15003684,MTG,2019-01-08,BR,100.000000
96,17997545,MTG,2019-01-08,BR,540.000000
97,17997552,MTG,2019-01-08,BR,78.000000
98,17997578,MTG,2019-01-08,BR,108.000000
