id,part_number,description,unit,storagetype,generallocation,specificlocation
1,030024,CHEM - SODIUM HYPOCHLORITE12.5,LB,Tote,HypoArea ,(in Joey's warehouse)
2,031013,CHEM - Tomadol 91-8,LB,Tote and Drum,BlendingOffice,BO3
3,030152,CHEM - Pilot AOS40,LB,Tote,BlendingOffice,BO4
4,030026,CHEM - MAQUAT (mason cs465),LB,Tote,BlendingOffice,BO5
5,030085,CHEM - Stanfax 1025,LB,Tote,BlendingOffice,BO6
6,030008CN,CHEM - COLADET DEF15,LB,Tote,BlendingOffice,BO7
7,030111,CHEM - LAMBENT 703,LB,Drum,BlendingRack,"BR1A, BR2L"
8,030041,CHEM - T-MULZ 800,LB,Drum,BlendingRack,BR1C
9,030161,CHEM - GLACIAL ACETIC ACID 97%,LB,Drum,BlendingRack,BR1C
10,100536,CHEM - Vitech ILBT,LBS,Drum,BlendingRack,BR1E
11,240077,CHEM - LIQUID POTASH 45% (pot,LB,Drum,BlendingRack,BR1F
12,030048,FRAGRANCE-SAVONNA item#220062,LB,Pail,BlendingRack,BR1G
13,031037,FRAGRANCE-Coconut Lime #69979,LB,Pail,BlendingRack,BR1G
14,031043,FRAGRANCE-W/S Cherry 98297,LB,Pail,BlendingRack,BR1G
15,031050,FRAGRANCE-Citrus #40692,LB,Drum,BlendingRack,BR1G
16,100424,CHEM - INFINEUM SV265,GAL,Drum,BlendingRack,BR1G
17,030036,FRAGRANCE-PINE AC126674,LBS,Pail,BlendingRack,BR1H
18,030124,FRAGRANCE-ORANGE ENHANCER AA-0,LB,Pail,BlendingRack,BR1H
19,030199,FRAGRANCE-Ocean Breeze W/S 118,LB,Pail,BlendingRack,BR1H
20,031034,FRAGRANCE-Tea Tree Oil #95525,LB,Pail,BlendingRack,BR1H
21,031046,FRAGRANCE-Cucumber kiwi 96088,LB,Pail,BlendingRack,BR1H
22,030197,FRAGRANCE-Orchidia Mildew Stai,LB,Drum,BlendingRack,BR1I
23,030198,CHEM - Odernone #69880,LB,Drum,BlendingRack,BR1I
24,030004,FRAGRANCE-LEMON #AJ197448,LB,Drum,BlendingRack,BR1J
25,030175,FRAGRANCE-BLUEBERRY W/S ORC150,LB,Drum,BlendingRack,BR1J
26,030132,DYE-BLUE LACE 2325 50 KOCH IND,LB,Drum,BlendingRack,BR1K
27,050017,DYE-Chromatint Red 1887 D93287,LB,Drum,BlendingRack,BR1K
28,100461,DYE-Chromatint Patent Blue L85,LB,Drum,BlendingRack,BR1K
29,240011,DYE-Chromatint 0218 (alizarine,LB,Drum,BlendingRack,BR1K
30,050008,DYE-CHROMATECH RED 40 C73024X,LBS,Drum,BlendingRack,BR1L
31,050020,DYE-Liquitint Pink L83045,LB,Drum,BlendingRack,BR1L
32,100547,CHEM - AFTON 6455,LB,Drum,BlendingRack,BR2A
33,100548,CHEM - Ethanox 4737R - previou,LB,Drum,BlendingRack,BR2A
34,100552,CHEM - Ethanox 4733,LB,Drum,BlendingRack,BR2A
35,030107,CHEM - API - WS500,LB,Drum,BlendingRack,BR2B
36,030178,CHEM - Ammonia 26%,LB,Drum,BlendingRack,BR2B
37,030013,CHEM - SODIUM XYLENE SULFONATE,LB,Drum,BlendingRack,BR2C
38,100522,CHEM - Vitech BW,LBS,Drum,BlendingRack,BR2C
39,030193,CHEM - APW 320N,LB,Drum,BlendingRack,BR2D
40,601021,CHEM - METALGUARD A65 NO DYE,LBS,Drum,BlendingRack,BR2D
41,030130,CHEM - GLUCOPON 425N,LBS,Drum,BlendingRack,BR2E
42,100521,CHEM - OGA 293 HF,LBS,Drum,BlendingRack,BR2E
43,030106,CHEM - Evogen Multi-Purpose 10,LB,Drum,BlendingRack,BR2F
44,100422,CHEM - INFINEUM V385,LB,Drum,BlendingRack,BR2G
45,030003,FRAGRANCE-Coconut W/W #66716,LB,Drum,BlendingRack,BR2I
46,030162,FRAGRANCE-Peppermint #97114  W,LB,Drum,BlendingRack,BR2I
47,031022,FRAGRANCE-Bubble Gum W/S507-03,LB,Drum,BlendingRack,BR2I
48,030109,FRAGRANCE-SPEARMINTAA024416,LB,Drum,BlendingRack,BR2J
49,031044,FRAGRANCE-Blueberry #1014-0092,LB,Drum,BlendingRack,BR2J
50,030038,CHEM - D-LIMONENE,LBS,Drum,BlendingRack,BR2K
51,030021,CHEM - LAURAMINE OXIDE (STANFA,LB,Drum,BlendingRack,BR2L
52,100436,CHEM - PINE OIL,LB,Drum,BlendingRack,BR2L
53,030002,CHEM - APS 286 EMULSION,LB,Drum,BlendingRack,BR3A
54,030176,CHEM - BTNN80 NO DYE,GAL,Drum,BlendingRack,BR3B
55,100532,CHEM - DEF 45,LBS,Drum,BlendingRack,BR3C
56,030001,CHEM - Maquat QSX 105S,LB,Drum,BlendingRack,BR3D
57,030159,CHEM - Gluconic Acid,LB,Drum,BlendingRack,BR3D
58,030035,CHEM - MONETHANOLAMINE,LB,Drum,BlendingRack,BR3E
59,031039,CHEM - T DET A 267,LB,Drum,BlendingRack,BR3E
60,100450,CHEM - Infineum S956,LB,Drum,BlendingRack,BR3G
61,030020,CHEM - COCAMIDE DEA - mackamid,LB,Drum,BlendingRack,BR3I
62,030121,CHEM - POLYGLYCOL 112-2030130,LB,Drum,BlendingRack,BR3I
63,500314,CHEM - DOW PG Carbo Wax 300,LB,Drum,BlendingRack,BR3I
64,100468,CHEM - NP-9,LB,Drum,BlendingRack,BR3J
65,100533,CHEM - Tea Tree Oil 50-6270-01,LBS,Drum,BlendingRack,BR3J
66,100534,FRAGRANCE-Lemongrass W/S  90-3,LB,Drum,BlendingRack,BR3J
67,030031,CHEM - Glycol Ether DPNB   (fo,LB,Drum,BlendingRack,BR3K
68,030180,CHEM - Cordaquat 1207,LB,Drum,BlendingRack,BR3K
69,030056,CHEM - DMF-50  (DOW 200 - 50 C,LB,Drum,BlendingRack,BR4A
