blend,factor,blendDescription
87700.B,1.2,BLEND-ALUMINUM CLEANER 2
602001,1.25,BLEND-BILGE CLEANER
602604,1.2,BLEND-Citrus Boat Wash (orange
602017,1.2,BLEND-DECK CLEANER
5359351.B,1.2,BLEND-HD CHEM PREM TRT MINT
602037,1.2,BLEND-MILDEW STAIN RMVR KPK
94600.B,1.35,BLEND-ORANGE WASH & WAX
94700.B,1.35,BLEND-POWER PINE WASH & WAX
93800.B,1.35,BLEND-PWR PINE BLGE CLNR
602043PURPLE,1.25,BLEND-WASH & WAX PURPLE
602005,1.2,BLEND-WATERPROOFING
602046,1.25,BLEND-BOAT SOAP
602000,1.25,BLEND-BOAT WASH / RV WASH
96100.B,1.25,BLEND-GEL HULL CLNR
94500.B,1.35,BLEND-ORANGE BOAT WASH
93700.B,1.25,BLEND-PWR PINE BOAT WASH
602010,1.25,BLEND-TOILET TREAT LEMON
602011,1.25,BLEND-TOILET TREAT PINE
602016,1.2,BLEND-AWN CLNR/VINL SHMP/BT CV
602067,1.5,BLEND-Bowl & Drain Cleaner
602605,1.2,BLEND-Citrus Bilge Clnr (orang
602604,1.2,BLEND-Citrus Boat Wash (orange
89755.B,1.15,BLEND-ECO WATERPROOFING
55432.B,1.15,BLEND-GEL DECK CLEANER
602082,1.15,BLEND-Low Odor Waterproofing
94400.B,1.4,BLEND-ORANGE BILGE CLEANER
94500.B,1.35,BLEND-ORANGE BOAT WASH
94200.B,1.25,BLEND-ORANGE CLEANER/DEGREASER
93700.B,1.25,BLEND-PWR PINE BOAT WASH
94444CON.B,1.2,BLEND-Salt Terminator CONC
94444RTU.B,1.2,BLEND-Salt Terminator RTU
602049,1.25,
602045,1.2,BLEND-ULT STN BSTR RUG CLNR
602607CONC,1.2,BLEND-WM Descaler CONC
602607RTU,1.2,BLEND-WM Descaler RTU
91000.B,1.2,BLEND-INFL BT & VINYL POLISH
602077,1.2,BLEND-Concentrated Deck Cleane
089300.B,1.2,BLEND-GEL TEAK CLEANER
19902.B,1.15,BLEND-TEAK NU PART 2 (Acid)
602003,1.1,BLEND-HULL CLNR / RUST ST RMVR
602009,1.2,BLEND-TEAK CLEANER
602020,1.1,BLEND-BARNACLE REMOVER
602022,1.1,BLEND-RUST EATER & CONVERTER
81500.B,1.1,BLEND-TEAK BRTNR
83200.B,1.1,BLEND-EXTREME CLEAN
KA00116.B,1.05,BLEND-KING AUTO CONC W/W
602024,1.05,BLEND-RAIN VIEW
602033KPK,1.1,BLEND-EZ STORE/STRT GAS/DIESEL
95600.B,1.05,BLEND-STARTRON RING CLEANER
94900.B,1.05,BLEND-TEAK CLEANER/BRIGHTNER
96500.B,1.05,BLEND-TEA TREE SPRAY
95900.B,1.05,BLEND-Ultimate Vinyl Spray
97300.B,1.1,BLEND-Deck Wax
602602,1.1,BLEND-GEL MILDEW STAIN RMVR
7-2738.B,1.05,BLEND-SPRAY FAST WAX
44200.B,1.1,BLEND-UV PROTECTANT
57700.B,1.05,BLEND-BBQ GRILL CLEANER
95022.B,1.05,BLEND-SPIDER AWAY
95300.B,1.05,BLEND-ODOR GUARD
93100TANK.B,1.05,BLEND-STARTRON TANK TRTMNT
93100DSL.B,1.05,BLEND-STARTRON DIESEL
95000.B,1.25,BLEND-VIEW GUARD
602066,1.25,BLEND-PLEXIGLASS CLNR
