part_number,description,lot_number,lot_quantity,date_created,line,desk,run_date,run_day,date_entered,qty_on_hand
98100.B,BLEND-Matte Finish Dtl/Protect,K202083,200.0,2021-01-01,Prod,,,-,2020-11-24,0
602602,BLEND-GEL MILDEW STAIN RMVR,A210001,100.0,2021-01-01,Prod,,,-,2021-01-05,0
28100.B,BLEND-SUP PRM SYN 4STK 10W30,A210002,1000.0,2021-01-22,Prod,,,-,2021-01-06,0
602017,BLEND-DECK CLEANER,A210003,2800.0,2021-01-22,Prod,,,-,2021-01-05,0
602017,BLEND-DECK CLEANER,A210004,1200.0,2021-01-22,Prod,,,-,2021-01-05,0
234526-35.B,BLEND-SPLASH -20 ALL SEASON,A210005,700.0,2021-01-22,Hx,,,-,2021-01-05,0
500400,BLEND-W/W  -0,A210006,1650.0,2021-01-22,Hx,,,-,2021-01-05,0
234357-35.B,BLEND-Splash/S'Tech -0- nonrep,A210007,5100.0,2021-01-22,Hx,,,-,2021-01-05,0
234357-35.B,BLEND-Splash/S'Tech -0- nonrep,A210008,5100.0,2021-01-22,Hx,,,-,2021-01-05,0
234357-35.B,BLEND-Splash/S'Tech -0- nonrep,A210009,5100.0,2021-01-22,Hx,,,-,2021-01-05,0
234357-35.B,BLEND-Splash/S'Tech -0- nonrep,A210010,5100.0,2021-01-22,Hx,,,-,2021-01-05,0
234526-35.B,BLEND-SPLASH -20 ALL SEASON,A210011,5100.0,2021-01-22,Hx,,,-,2021-01-06,0
234526-35.B,BLEND-SPLASH -20 ALL SEASON,A210012,5100.0,2021-01-22,Hx,,,-,2021-01-06,0
238197-35.B,BLEND-SPLASH -0- W/Repel,A210013,1500.0,2021-01-22,Hx,,,-,2021-01-06,0
237000.B,BLEND-SPLASH -25 non repel,A210014,5100.0,2021-01-22,Hx,,,-,2021-01-06,0
236226-35.B,BLEND-Splash +22 nonrepel,A210015,5100.0,2021-01-22,Hx,,,-,2021-01-06,0
236226-35.B,BLEND-Splash +22 nonrepel,A210016,5100.0,2021-01-22,Hx,,,-,2021-01-07,0
236226-35.B,BLEND-Splash +22 nonrepel,A210017,5100.0,2021-01-22,Hx,,,-,2021-01-07,0
236226-35.B,BLEND-Splash +22 nonrepel,A210018,5100.0,2021-01-22,Hx,,,-,2021-01-07,0
95900.B,BLEND-Ultimate Vinyl Spray,A210019,250.0,2021-01-22,Prod,,,-,2021-01-05,0
95022.B,BLEND-SPIDER AWAY,A210020,150.0,2021-01-22,Prod,,,-,2021-01-05,0
83200.B,BLEND-EXTREME CLEAN,A210021,750.0,2021-01-22,Prod,,,-,2021-01-06,0
602003,BLEND-HULL CLNR / RUST ST RMVR,A210022,500.0,2021-01-22,Prod,,,-,2021-01-06,0
237000.B,BLEND-SPLASH -25 non repel,A210023,1500.0,2021-01-22,Hx,,,-,2021-01-06,0
602022,BLEND-RUST EATER & CONVERTER,A210024,200.0,2021-01-22,Prod,,,-,2021-01-13,3
602604,BLEND-Citrus Boat Wash (orange,A210025,250.0,2021-01-22,Prod,,,-,2021-01-06,0
83200.B,BLEND-EXTREME CLEAN,A210026,2800.0,2021-01-22,Prod,,,-,2021-01-06,0
602003,BLEND-HULL CLNR / RUST ST RMVR,A210027,2800.0,2021-01-22,Prod,,,-,2021-01-06,0
052000G8/16,BLEND-RVAF -50 (PG8% /GLYC16%),A210028,2580.0,2021-01-22,Hx,,,-,2021-01-07,0
052000G8/16,BLEND-RVAF -50 (PG8% /GLYC16%),A210029,1100.0,2021-01-22,Hx,,,-,2021-01-06,0
052003G39/51RED,BLEND-RVAF -200 (39%PG/51%GLY),A210030,2700.0,2021-01-22,Hx,,,-,2021-01-06,0
96100.B,BLEND-GEL HULL CLNR,A210031,2800.0,2021-01-22,Prod,,,-,2021-01-07,0
96100.B,BLEND-GEL HULL CLNR,A210032,750.0,2021-01-22,Prod,,,-,2021-01-07,0
0x2a,BLEND-SALT BUSTER concentrated,A210033,2800.0,2021-01-22,Prod,,,-,2021-01-08,0
0x2a,BLEND-SALT BUSTER concentrated,A210034,850.0,2021-01-22,Prod,,,-,2021-01-08,0
602010,BLEND-TOILET TREAT LEMON,A210035,750.0,2021-01-22,Prod,,,-,2021-01-08,0
601013PA,BLEND-EGAF with Ph. Acid,A210036,400.0,2021-01-22,Prod,,,-,2021-01-08,0
601011DIL,"BLEND-150,000 MILE AF DILUTED",A210037,400.0,2021-01-22,Prod,,,-,2021-01-08,0
052004N,BLEND-BIOSAFE ANTIFREEZE (NF),A210038,1000.0,2021-01-22,Prod,,,-,2021-01-08,0
234526-35.B,BLEND-SPLASH -20 ALL SEASON,A210039,750.0,2021-01-22,Hx,,,-,2021-01-11,0
235826-35.B,BLEND-Splash/S'Tech +32 nonrep,A210040,5100.0,2021-01-22,Hx,,,-,2021-01-08,0
235826-35.B,BLEND-Splash/S'Tech +32 nonrep,A210041,5100.0,2021-01-22,Hx,,,-,2021-01-08,0
236226-35.B,BLEND-Splash +22 nonrepel,A210042,5100.0,2021-01-22,Hx,,,-,2021-01-11,0
236226-35.B,BLEND-Splash +22 nonrepel,A210043,5100.0,2021-01-22,Hx,,,-,2021-01-11,0
0x2a,BLEND-STech Debug W/W V2,A210044,5100.0,2021-01-22,Hx,,,-,2021-01-11,0
234192-T35.B,BLEND-SPLASH -25 ALL SEASON,A210045,1500.0,2021-01-22,Hx,,,-,2021-01-11,0
234526-35.B,BLEND-SPLASH -20 ALL SEASON,A210046,1500.0,2021-01-22,Hx,,,-,2021-01-11,0
14308.B,BLEND-STARTRON AUTO GAS,A210047,425.0,2021-01-22,Prod,,,-,2021-01-11,0
602000,BLEND-BOAT WASH / RV WASH,A210048,2800.0,2021-01-22,Prod,,,-,2021-01-11,0
602000,BLEND-BOAT WASH / RV WASH,A210049,1250.0,2021-01-22,Prod,,,-,2021-01-11,0
602001,BLEND-BILGE CLEANER,A210050,1000.0,2021-01-22,Prod,,,-,2021-01-11,0
28500.B,BLEND-TRIM & TILT FLUID,A210051,240.0,2021-01-22,Prod,,,-,2021-01-11,0
601013PA,BLEND-EGAF with Ph. Acid,A210052,1000.0,2021-01-22,Prod,,,-,2021-01-12,0
601009,BLEND-EGAF 50/50 PREDILUTED,A210053,725.0,2021-01-22,Prod,,,-,2021-01-12,0
7-2738.B,BLEND-SPRAY FAST WAX,A210054,150.0,2021-01-22,Prod,,,-,2021-01-11,0
95000.B,BLEND-VIEW GUARD,A210055,350.0,2021-01-22,Prod,,,-,2021-01-12,0
052000G8/16,BLEND-RVAF -50 (PG8% /GLYC16%),A210056,800.0,2021-01-22,Dm,,,-,2021-01-11,0
601009,BLEND-EGAF 50/50 PREDILUTED,A210057,2500.0,2021-01-22,Prod,,,-,2021-01-12,0
300355.B,BLEND-ITW Low Conductivity AF,A210058,2900.0,2021-01-22,Prod,,,-,2021-01-12,0
300355.B,BLEND-ITW Low Conductivity AF,A210059,2900.0,2021-01-22,Prod,,,-,2021-01-12,0
300355.B,BLEND-ITW Low Conductivity AF,A210060,700.0,2021-01-22,Prod,,,-,2021-01-12,0
602023,BLEND-VINYL BRITE,A210061,150.0,2021-01-22,Prod,,,-,2021-01-12,0
95900.B,BLEND-Ultimate Vinyl Spray,A210062,425.0,2021-01-22,Prod,,,-,2021-01-12,0
234526-35.B,BLEND-SPLASH -20 ALL SEASON,A210063,1450.0,2021-01-22,Hx,,,-,2021-01-12,0
237000.B,BLEND-SPLASH -25 non repel,A210064,5100.0,2021-01-22,Hx,,,-,2021-01-13,0
234526-35.B,BLEND-SPLASH -20 ALL SEASON,A210065,5100.0,2021-01-22,Hx,,,-,2021-01-13,0
234526-35.B,BLEND-SPLASH -20 ALL SEASON,A210066,5100.0,2021-01-22,Hx,,,-,2021-01-14,0
234357-35.B,BLEND-Splash/S'Tech -0- nonrep,A210067,5100.0,2021-01-22,Hx,,,-,2021-01-14,0
235826-35.B,BLEND-Splash/S'Tech +32 nonrep,A210068,5100.0,2021-01-22,Hx,,,-,2021-01-14,0
235826-35.B,BLEND-Splash/S'Tech +32 nonrep,A210069,5100.0,2021-01-22,Hx,,,-,2021-01-14,0
236226-35.B,BLEND-Splash +22 nonrepel,A210070,5100.0,2021-01-22,Hx,,,-,2021-01-14,0
