Part_Number,Description,Lot_Number,Quantity,date_created,Line
93100TANK.B,BLEND-STARTRON TANK TRTMNT,H221719,425,8/25/2022,Prod
602009,BLEND-TEAK CLEANER,H221718,150,8/25/2022,Prod
234526-35.B,BLEND-SPLASH -20 ALL SEASON,H221717,2400,8/25/2022,Hx
239192-35.B,BLEND-SPLASH -30 Weather Repel,H221716,2250,8/25/2022,Hx
208367V3.B,BLEND-Supertech Debug W/W 6-1g,H221715,1500,8/25/2022,Hx
052000PG30,BLEND-RVAF -50 (30%PG) pink,H221714,1500,8/25/2022,Hx
602017,BLEND-DECK CLEANER,H221708,1950,8/24/2022,Prod
300355.B,BLEND-ITW Low Conductivity AF,H221707,2800,8/23/2022,Prod
300355.B,BLEND-ITW Low Conductivity AF,H221706,2800,8/23/2022,Prod
601013PA,BLEND-EGAF with Ph. Acid,H221705,900,8/23/2022,Prod
83200.B,BLEND-EXTREME CLEAN,H221704,500,8/23/2022,Prod
602071,BLEND-Full Synthetic 10W40,H221703,240,8/23/2022,Prod
14308.B,BLEND-STARTRON AUTO GAS,H221702,1100,8/23/2022,Prod
93100TANK.B,BLEND-STARTRON TANK TRTMNT,H221701,375,8/23/2022,Prod
052001G24/29GRN,BLEND-RVAF-100 (24%/29%) Green,H221700,3025,8/23/2022,Dm
052001G24/29GRN,BLEND-RVAF-100 (24%/29%) Green,H221699,3025,8/23/2022,Dm
052001G24/25BLU,BLEND-RVAF-100 Blue (24PG/25GL,H221698,3025,8/23/2022,Dm
052000G8/16,BLEND-RVAF -50 (PG8% /GLYC16%),H221697,3025,8/23/2022,Dm
052000G8/16,BLEND-RVAF -50 (PG8% /GLYC16%),H221696,3025,8/23/2022,Dm
052000G8/16,BLEND-RVAF -50 (PG8% /GLYC16%),H221695,3025,8/23/2022,Dm
052000G8/16,BLEND-RVAF -50 (PG8% /GLYC16%),H221694,3025,8/23/2022,Dm
052000G8/16,BLEND-RVAF -50 (PG8% /GLYC16%),H221693,3025,8/23/2022,Dm
