billno,po,description,blendPN,case_size,qty,bottle,cap,runtime,carton,starttime,line
084104B,240847,SB Black LET 12pk (SM)           LITHO can,602025,12-4oz LET,500,,607510   4oz,10,604045,0,BLISTER,1
084104B,241009,SB Black LET 12pk (SM)           LITHO can,602025,12-4oz LET,300,,607510   4oz,6,604045,10,BLISTER,2
084108B,241078,SB Clear LET 12pk (SM)           LITHO can,602034,12-4oz LET,60,,607510   4oz,1.2,604045,16,BLISTER,3
084108B,241133,SB Clear LET 12pk (SM)           LITHO can,602034,12-4oz LET,50,,607510   4oz,1,604045,17.2,BLISTER,4
85120,241204,Permatex Black LET 6pk unblistered  - PX lot # on carton label and can    LQ required   Cust. PO# 187046,602025,6-4oz LET,800,,607510   4oz,8,502426,18.2,BLISTER,5
85121,241144,"Permatex Canadian Black LET 6pk (LG) -  PX lot # on carton label and can  4""x4"" LQ only PO# 186615",602025,6-4oz LET,700,44929,607510   4oz,7,604023,26.2,BLISTER,6
084105N-KITS,241195,"SB RED FILLED CANS FOR 084105N        TRAY PACK 5,600",602026,4oz Filled Can,5600,,607510   4oz,4.666666666666667,,33.2,BLISTER,7
084105N,241195,SB Red LET 4pk - CLAM PACK     (need to run 084105N-KITS),,4-4oz clam,1400,,,10.37037037037037,604046,37.86666666666667,BLISTER,8
137032,241009,SB Home Teak Oil                                ,602032CARB,6-32oz,140,Clear oval pvc 32oz,607521  (wht),0.38888888888888884,604005,0,INLINE,1
18009951,241009,WM Premium Teak Oil                                                   ,602032CARB,6-32oz,150,Clear oval pvc 32oz,607521  (wht),0.41666666666666663,604005,0.38888888888888884,INLINE,2
30034B,241199,Snappy Marine Premium Teak Oil                        ,602032CARB,12-32oz,50,Clear oval pvc 32oz,607521  (wht),0.27777777777777773,604006,0.8055555555555555,INLINE,3
081632GF,241132,Teak Oil G/F                                                                                ,602032CARB,6-32oz,50,White oval pvc 32oz,607521  (wht),0.13888888888888887,604005,1.0833333333333333,INLINE,4
15941412,241009,WM PremRestorer Wax    Excelda# 124971 / 607521,124971,6-32oz,100,White oval pvc 32oz,607521  (wht),1.75,604005,1.222222222222222,INLINE,5
15941362,241132,WM Hvy Oxidation Rubbing Cmpd    Excelda # 113341 / flip top,113341,6-32oz,100,White oval pvc 32oz,607517  FLIP,0.5,604005,2.9722222222222223,INLINE,6
085932PC,241009,Deck Cleaner Canadian                                         ,602017,6-32oz,200,White oval pvc 32oz,607517  FLIP,1,604005,3.4722222222222223,INLINE,7
081732IC,241131,Hull Cleaner I/C                                                                       ,602003,6-32oz,50,White oval pvc 32oz,607521  (wht),0.13888888888888887,604005,4.472222222222222,INLINE,8
081732IC,241096,Hull Cleaner I/C                                                                       ,602003,6-32oz,50,White oval pvc 32oz,607521  (wht),0.13888888888888887,604005,4.611111111111112,INLINE,9
089732PC,241207,Seasafe Boat Wash Canadian      ,602000,6-32oz,100,TransBlue oval pvc 32oz,607521  (wht),0.5,604005,4.750000000000001,INLINE,10
