,BillNo, Revision, LineKey, LineSeqNo, ComponentItemCode, ComponentRevision, ItemType, ComponentDesc, EngineeringDrawingFindNo, EngineeringChangeAddNo, EngineeringChangeAddDate, EngineeringChangeDelNo, EngineeringChangeDelDate, WorkOrderStepNo, BillType, CommentText, MiscChargeGLAcctKey, SetupCharge, UnitOfMeasure, QuantityPerBill, StandardUnitCost, ScrapPercent, WorkTicketStepNo
0,0085107,000,000001,00000100000000,022001,*,1,,,,,,,0000,S,,,N,,6.000000,0.000000,0.000,
1,0085107,000,000002,00000200000000,235826-35.B,*,1,,,,,,,,S,,,N,,6.000000,0.000000,0.000,
2,0085107,000,000003,00000300000000,502403,*,1,,,,,,,0000,,,,N,,6.000000,0.000000,0.000,
3,0085107,000,000004,00000400000000,085107SLV,*,1,,,,,,,,,,,N,,6.000000,0.000000,0.000,
4,0085107,000,000005,00000500000000,502402,*,1,,,,,,,,,,,N,,1.000000,0.000000,0.000,
5,0085107,000,000006,00000600000000,344841,*,1,,,,,,,0000,,,,N,,0.000000,0.000000,0.000,
6,0085107,000,000007,00000700000000,/PRDLBR,,3,PRODUCTION LABOR,,,,,,,,,582528250,N,EACH,0.016800,9.750000,0.000,
7,0085107,000,000008,00000800000000,/DOS-PR,,3,Direct Operating Supplies - Pd,,,,,,,,,578000050,N,EACH,6.000000,0.040000,0.000,
8,014649C,000,000001,00000300000000,/C,,4,,,,,,,,,SBPOPSMTRAY - 2ea - POP small tray,,N,,0.000000,0.000000,0.000,
9,014649C,000,000002,00000500000000,/C,,4,,,,,,,,,093636CP8  - 1ea - startron small header card CAN,,N,,0.000000,0.000000,0.000,
10,014649C,000,000003,00000100000000,/C,,4,,,,,,,,,14308C - 8cs - Startron auto gas CAN 6/8oz,,N,,0.000000,0.000000,0.000,
11,014649C,000,000008,00000200000000,/C,,4,,,,,,,,,0930BASE - 1ea - Startron 2 Tier Base Must use V3 which is bilingual,,N,,0.000000,0.000000,0.000,
12,014649C,000,000009,00001000000000,/C,,4,,,,,,,,,146BOX - kit box - OUTER,,N,,0.000000,0.000000,0.000,
13,014649C,000,000010,00000400000000,/C,,4,,,,,,,,,SBPOPINSTRUCTION - 1ea - POP Inst Sheet,,N,,0.000000,0.000000,0.000,
14,014649C,000,000011,00001100000000,344841,*,1,,,,,,,,,,,N,,0.000000,0.000000,0.000,
15,014649C,000,000012,00001200000000,604600,*,1,,,,,,,,,,,N,,0.000000,0.000000,0.000,
16,014649C,000,000013,00001300000000,/PRDLBR,,3,PRODUCTION LABOR,,,,,,,,,582528250,N,EACH,0.086900,17.202700,0.000,
17,014649C,000,000014,00001400000000,/DOS-1PACK,,3,Operating Cost for Packing,,,,,,,,,578000050,N,EACH,1.000000,0.300000,0.000,
18,022000,000,000001,00000100000000,020001,*,1,,,,,,,,,,,N,,0.293000,0.000000,8.000,
19,022000,000,000002,00000200000000,022302,*,1,,,,,,,,,,,N,,0.016000,0.000000,0.000,
20,022000,000,000003,00000300000000,/BMLBR,,3, BLOWMOLD LABOR,,,,,,,,,580558050,N,EACH,0.050000,10.630000,0.000,
21,022000,000,000004,00000400000000,/RGBDOC,,3,BLMLD RIG DIR OPERATING COSTS,,,,,,,,,578000050,N,EACH,0.340000,0.005900,0.000,
22,022001,000,000001,00000100000000,020001,*,1,,,,,,,0000,,,,N,,0.276000,0.000000,10.000,
