,BillNo, Revision, BillType, DrawingNo, DrawingRevision, DateLastUsed, RoutingNo, BillHasOptions, CurrentBillRevision, OptionInteractions, OptionCategories, PrintComponentDetail, MaximumLotSize, YieldPercent, BillDesc1, BillDesc2, DateCreated, TimeCreated, UserCreatedKey, DateUpdated, TimeUpdated, UserUpdatedKey, TemplateNo, TemplateRevisionNo
0,00001,000,I,,,,,N,000,N,N,N,0,100.000,MAGNET MIX (DEER SCENT) 6X1,,2010-12-15,18.66705,0000000013,2010-12-15,18.66705,0000000013,,
1,0085107,000,S,,,2020-06-03,031004,N,000,N,N,N,0,100.000,Signtature Select +32 W/W  6X1,,2020-05-28,9.91768,0000000007,2020-06-03,13.11834,0000000003,,
2,014649C,000,S,,,2021-09-21,,N,000,N,N,N,0,100.000,Startron Sm Display CAN,,2021-09-09,15.56207,0000000049,2021-09-21,11.89755,0000000003,,
3,022000,000,S,,,2022-06-14,,N,000,N,N,N,0,100.000,BOTTLE - RIG White GAL 140gram,,2010-12-15,18.66705,0000000013,2022-06-15,8.67447,0000000003,,
4,022001,000,S,,,2022-08-23,022001,N,000,N,N,N,0,100.000,BOTTLE-RIGS NATURAL 120gm,02/06/08,2010-12-15,18.66705,0000000013,2022-08-24,10.06238,0000000003,,
5,022001SK,000,S,,,2016-05-03,022001,N,000,N,N,N,0,100.000,BOTTLE-RIGS Sika Blue 120gm,,2016-03-31,9.99825,0000000007,2022-01-28,9.08571,0000000003,,
6,022002,000,S,,,2022-02-12,022002,N,000,N,N,N,0,100.000,BOTTLE-RIG NATURAL 180 GR,,2010-12-15,18.66705,0000000013,2022-02-14,9.91482,0000000003,,
7,022003,000,S,,,2017-09-17,,N,000,N,N,N,0,100.000,BOTTLE-RIG WHITE GAL 180 gram,,2017-09-12,15.06389,0000000007,2022-01-28,9.10376,0000000003,,
8,022006,000,S,,,2022-03-02,022006,N,000,N,N,N,0,100.000,BOTTLE F-STYLE NATURAL,,2010-12-15,18.66705,0000000013,2022-03-03,7.76522,0000000003,,
9,022008,000,S,,,2022-04-19,,N,000,N,N,N,0,100.000,BOTTLE-64oz F-STYLE PVC CLEAR,,2011-12-14,14.23872,0000000003,2022-04-20,7.83996,0000000003,,
10,022009,000,S,,,2022-05-12,022009,N,000,N,N,N,0,100.000,BOTTLE F-STYLE WHITE/WHITE,,2010-12-15,18.66705,0000000013,2022-05-13,8.6573,0000000003,,
11,022013,000,S,,,2014-11-18,022014,N,000,N,N,N,0,100.000,BOTTLE-32oz PVC Orange 1655C,,2014-10-20,10.99796,0000000007,2022-01-28,9.12619,0000000003,,
12,022014,000,S,,,2022-08-12,022014,N,000,N,N,N,0,100.000,"BOTTLE-32oz PVC, WHITE",,2010-12-15,18.66705,0000000013,2022-08-15,7.96464,0000000003,,
13,022014AW,000,S,,,2015-04-02,022014,N,000,N,N,N,0,100.000,BOTTLE-32oz PVC Attwood Blue,,2010-12-15,18.66705,0000000013,2022-01-28,10.22199,0000000003,,
14,022014BLACK,000,S,,,2017-02-21,022014,N,000,N,N,N,0,100.000,"BOTTLE-32oz PVC, BLACK",,2010-12-15,18.66705,0000000013,2022-01-28,9.13723,0000000003,,
15,022014GOLD,000,S,,,2018-01-11,022014,N,000,N,N,N,0,100.000,"BOTTLE-32oz PVC, gold",,2017-11-08,14.11728,0000000007,2022-01-28,10.22647,0000000003,,
16,022015,000,S,,,2021-12-16,022015,N,000,N,N,N,0,100.000,"BOTTLE-16oz PVC, CLEAR",,2010-12-15,18.66705,0000000013,2022-01-28,9.15397,0000000003,,
17,022015BD,000,S,,,,,N,000,N,N,N,0,100.000,"BOTTLE-16oz PVC, CLEAR Biodegr",,2014-07-07,12.90688,0000000003,2014-07-07,12.90688,0000000003,,
18,022016,000,S,,,2022-03-31,022016,N,000,N,N,N,0,100.000,"BOTTLE-16oz PVC, WHITE",,2010-12-15,18.66705,0000000013,2022-04-04,7.56985,0000000003,,
