P/N,PO #,Product,Amt,Blend,Dye,Case Size,Case Qty,Run Date,id,gal_factor,Line,gallonQty,num_blends
031200,802022,Wintersafe -50 PGAF sleeve,6 blends,052000G8/16,Liquitint Pink L83045,6-1gal,5040,2022-08-16 00:00:00,1,6.0,Hx,30240.0,6
8M0073201,802022,Mercury -50 (PINK) label,3000 gals,052000PG30,Liquitint Pink L83045,6-1gal,500,2022-08-17 00:00:00,2,6.0,Hx,3000.0,1
8M0073203,802022,Mercury -100       label NO water bath,3000 gals,052001PG60BLUE,Chromatint Patent Blue L85,6-1gal,500,2022-08-17 00:00:00,3,6.0,Hx,3000.0,1
8M0073198,802022,Quicksilver -100  label NO water bath,3000 gals,052001PG60BLUE,Chromatint Patent Blue L85,6-1gal,500,2022-08-17 00:00:00,4,6.0,Hx,3000.0,1
334192-35,802022,Circle K -25 REPEL label,1500 gals,234192-T35.B,LIQUID VIOLET 0974 L84020,6-1gal,250,2022-08-17 00:00:00,5,6.0,Hx,1500.0,1
334526-35,802022,Circle K -20 NON-repel label ,1500 gals,234526-35.B,Chromatint Patent Blue L85,6-1gal,250,2022-08-17 00:00:00,6,6.0,Hx,1500.0,1
236226-35,802022,SPLASH +22 NON-repel label,1 blend,236226-35.B,Chromatint Patent Blue L85,6-1gal,840,2022-08-17 00:00:00,7,6.0,Hx,5040.0,1
235826-35,802022,SPLASH +32 NON-repel label,1 blend,235826-35.B,Chromatint Patent Blue L85,6-1gal,840,2022-08-17 00:00:00,8,6.0,Hx,5040.0,1
335826-35,802022,Circle K +32 NON-repel  label,3000 gals,235826-35.B,Chromatint Patent Blue L85,6-1gal,500,2022-08-17 00:00:00,9,6.0,Hx,3000.0,1
329477-35,802022,Circle K Debug REPEL label,1500 gals,208367V3.B,Chromatint GREEN 1736A - D,6-1gal,250,2022-08-17 00:00:00,10,6.0,Hx,1500.0,1
031200,802022,Wintersafe -50 PGAF sleeve,7 blends,052000G8/16,Liquitint Pink L83045,6-1gal,5880,2022-08-18 00:00:00,11,6.0,Hx,35280.0,7
031200,802022,Wintersafe -50 PGAF sleeve,7 blends,052000G8/16,Liquitint Pink L83045,6-1gal,5880,2022-08-22 00:00:00,12,6.0,Hx,35280.0,7
031100,802022,WinterTECH -50 DNA PINK   sleeve,1 blend,052000G2/2/15,Liquitint Pink L83045,6-1gal,840,2022-08-23 00:00:00,13,6.0,Hx,5040.0,1
031200,802022,Wintersafe -50 PGAF sleeve,6 blends,052000G8/16,Liquitint Pink L83045,6-1gal,5040,2022-08-23 00:00:00,14,6.0,Hx,30240.0,6
315G55,802022,SB -100 (Green) PGAF,8580 gals,052001G24/29GRN,Chromatint 0218 (alizarine,55gal drum,156,2022-08-17 00:00:00,15,55.0,Dm,8580.0,3
315G55PK,802022,SB -100 (RED) PGAF,8580 gals,052001G24/29RED,CHROMATECH RED 40 C73024X,55gal drum,156,2022-08-17 00:00:00,16,55.0,Dm,8580.0,3
819G55,240766,Waterproofing    poly recon / GHS label  ,55 gals,602005,,55gal drum,1,2022-08-18 00:00:00,17,55.0,Dm,55.0,1
234555,802022,SPLASH -20 55gal drum      GHS label ,880 gals,234526-35.B,Chromatint Patent Blue L85,55gal drum,16,2022-08-18 00:00:00,18,55.0,Dm,880.0,1
8M0073205,802022,Mercury -200 (GREEN) 55gal drum,1320 gals,052003PG96GRN,CHROMATINT GREEN 1707 D962,55gal drum,24,2022-08-18 00:00:00,19,55.0,Dm,1320.0,1
8M0073200,802022,Quicksilver -200 (GREEN) 55gal drum,1320 gals,052003PG96GRN,CHROMATINT GREEN 1707 D962,55gal drum,24,2022-08-18 00:00:00,20,55.0,Dm,1320.0,1
312G55,802022,Wintersafe -50 PGAF,8580 gals,052000G8/16,Liquitint Pink L83045,55gal drum,156,2022-08-18 00:00:00,21,55.0,Dm,8580.0,3
946G55,240777,Super Orange Boat Wash & Wax 55gal ,55 gals,94600.B,,55gal drum,1,2022-08-22 00:00:00,22,55.0,Dm,55.0,1
