billno,po,description,blendPN,case_size,qty,bottle,cap,runtime,carton,starttime,line
084106N-KITS,240637,SB GREEN FILLED CANS FOR 084106N        TRAY PACK 1200 ,602027,4oz Filled Can,1200,,607510   4oz,1,,0,BLISTER,1
084107N-KITS,240637,SB WHITE FILLED CANS FOR 084105N        TRAY PACK 2000 ,602028,4oz Filled Can,2000,,607510   4oz,1.6666666666666667,,1,BLISTER,2
084105B,240486,SB Red LET 12pk (SM)            LITHO can,602026,12-4oz LET,100,,607510   4oz,2,604045,2.666666666666667,BLISTER,3
084135,240486,SB Red LET 32oz,602026,6-32oz LET,10,,607511   32oz,0.5,604002,4.666666666666667,BLISTER,4
084105N-KITS,240238,SB RED FILLED FOR 084105N        TRAY PACK 1200 ,602026,4oz Filled Can,1200,,607510   4oz,1,,5.166666666666667,BLISTER,5
084105N-KITS,240637,SB RED FILLED CANS FOR 084105N    TRAY PACK 1600 ,602026,4oz Filled Can,1600,,607510   4oz,1.3333333333333335,,6.166666666666667,BLISTER,6
084104N-KITS,240238,SB BLACK FILLED CANS FOR 084104N        TRAY PACK 686,602025,4oz Filled Can,686,,607510   4oz,0.5716666666666667,,7.5,BLISTER,7
084104N-KITS,240637,SB BLACK FILLED CANS FOR 084104N        TRAY PACK 3000 ,602025,4oz Filled Can,3000,,607510   4oz,2.5,,8.071666666666667,BLISTER,8
084104B,240487,SB Black LET 12pk (SM)           LITHO can,602025,12-4oz LET,300,,607510   4oz,6,604045,10.571666666666667,BLISTER,9
084104GF,240636,LABEL SB Black LET G/F 6pk (LG)      84104GFA1 + blindsticker ,602025,6-4oz LET,50,,607510   4oz,0.5,604023,16.571666666666665,BLISTER,10
3761483,240487,WM Epoxy Stick Green 12pk                ,,12pk blister,50,,,0.4166666666666667,604024,17.071666666666665,BLISTER,11
087104,240602,SB Epoxy Stick Green 12pk                 ,,12pk blister,50,,,0.4166666666666667,604024,17.488333333333333,BLISTER,12
087104,240677,SB Epoxy Stick Green 12pk                 ,,12pk blister,100,,,0.8333333333333334,604024,17.905,BLISTER,13
087004,240677,Epoxy Stick (Aluminum) 12pk   ,,12pk blister,100,,,0.8333333333333334,604024,18.738333333333333,BLISTER,14
086016,240487,Premium Restorer Wax                  excelda # 124971 / 607521  ,124971,6-16oz,150,White oval pvc16oz,607521  (wht),0.75,604001,0,INLINE,1
087616,240602,Ultimate Aluminum Polish                  ,91000.B,6-16oz,100,SIKA oval pvc16oz ,607517  FLIP,0.5,604001,0.75,INLINE,2
086416GF,240487,Toilet Bowl Cleaner G/F                                                                            ,602067,6-16oz,50,White oval pvc16oz,607517  FLIP,0.7,604001,1.25,INLINE,3
071716GF,240487,Toilet Treatment Lemon G/F                                                         ,602010,6-16oz,100,Clear oval pvc16oz,607521  (wht),0.44,604001,1.95,INLINE,4
071516P,240487,RV Wash & Wax                    ,602043PURPLE,6-16oz,100,Clear oval pvc16oz,607521  (wht),0.44,604001,2.39,INLINE,5
080416GF,240487,Boat Wash G/F                                                                                       ,602000,6-16oz,100,TransBlue oval pvc16oz,607521  (wht),0.5,604001,2.83,INLINE,6
