ItemCode,ItemCodeDesc,VendorNo,Vendor,PurchaseOrderNo,PurchaseOrderDate,QtyOrdered,QtyReceived,QtyOpen,UnitCost,OpenValue
020002,"RESIN - GP-9114 White pvc virg",WESTLAK,"WESTLAKE GLOBAL COMPOUNDS",0024689,2026-01-05,41400,0,41400,$1.2100,"$50,094.00"
020002,"RESIN - GP-9114 White pvc virg",POLYONE,"FORMERRA (AVIENT)",0022577,2024-07-12,41400,41059,341,$1.3600,$463.76
020003,"RESIN - FG-9209 clear pvc virg",WESTLAK,"WESTLAKE GLOBAL COMPOUNDS",0024828,2026-01-30,42500,0,42500,$1.1900,"$50,575.00"
020003,"RESIN - FG-9209 clear pvc virg",POLYONE,"FORMERRA (AVIENT)",0022114,2024-04-05,41400,41222,178,$1.2700,$226.06
020003,"RESIN - FG-9209 clear pvc virg",POLYONE,"POLYONE corporation",0018225,2021-03-15,41400,40707,693,$1.4750,"$1,022.18"
031018,"CHEM - Denatured Alcohol",ECOENER,"ECO-ENERGY, LLC",0024236,2025-09-15,6500,6387,113,$2.7400,$309.62
031018,"CHEM - Denatured Alcohol",ECOENER,"ECO-ENERGY, LLC",0023867,2025-06-05,6500,6422,78,$2.7400,$213.72
031018,"CHEM - Denatured Alcohol",ECOENER,"ECO-ENERGY, LLC",0021613,2023-11-13,6500,6498,2,$3.1400,$6.28
031018,"CHEM - Denatured Alcohol",ECOENER,"ECO-ENERGY, LLC",0021602,2023-11-08,6509,6475,34,$3.1400,$106.76
031018,"CHEM - Denatured Alcohol",ECOENER,"ECO-ENERGY, LLC",0021498,2023-10-12,6500,6487,13,$3.1400,$40.82
031018,"CHEM - Denatured Alcohol",ECOENER,"ECO-ENERGY, LLC",0021484,2023-10-09,6500,6445,55,$3.1400,$172.70
031018,"CHEM - Denatured Alcohol",ECOENER,"ECO-ENERGY, LLC",0021477,2023-10-03,6500,6439,61,$3.1400,$191.54
031018,"CHEM - Denatured Alcohol",ECOENER,"ECO-ENERGY, LLC",0021462,2023-09-28,6500,6457,43,$3.1400,$135.02
031018,"CHEM - Denatured Alcohol",ECOENER,"ECO-ENERGY, LLC",0021442,2023-09-27,6500,6431,69,$3.1400,$216.66
031018,"CHEM - Denatured Alcohol",ECOENER,"ECO-ENERGY, LLC",0021443,2023-09-27,6500,6402,98,$3.1400,$307.72
031018,"CHEM - Denatured Alcohol",ECOENER,"ECO-ENERGY, LLC",0021431,2023-09-25,6500,6434,66,$3.1400,$207.24
031018,"CHEM - Denatured Alcohol",ECOENER,"ECO-ENERGY, LLC",0021402,2023-09-15,6500,6394,106,$3.1405,$332.89
031018,"CHEM - Denatured Alcohol",ECOENER,"ECO-ENERGY, LLC",0021387,2023-09-12,6500,6456,44,$3.1400,$138.16
031018,"CHEM - Denatured Alcohol",ECOENER,"ECO-ENERGY, LLC",0021388,2023-09-12,6500,6452,48,$3.1400,$150.72
031018,"CHEM - Denatured Alcohol",ECOENER,"ECO-ENERGY, LLC",0021389,2023-09-12,6500,6442,58,$3.1400,$182.12
031018,"CHEM - Denatured Alcohol",ECOENER,"ECO-ENERGY, LLC",0021325,2023-08-23,6500,6426,74,$3.1900,$236.06
031018,"CHEM - Denatured Alcohol",ULTRAPU,"ULTRA PURE",0021286,2023-08-14,6500,6454,46,$3.2600,$149.96
031018,"CHEM - Denatured Alcohol",SASOL,"SASOL CHEMICALS NORTH AMERICA LLC",0020247,2022-10-03,6500,6397,103,$3.0411,$313.23
031018,"CHEM - Denatured Alcohol",ULTRAPU,"ULTRA PURE",0020037,2022-07-20,27581,27374,207,$2.7500,$569.25
031018,"CHEM - Denatured Alcohol",ULTRAPU,"ULTRA PURE",0016023,2019-11-13,6500,6479,21,$2.2800,$47.88
031018,"CHEM - Denatured Alcohol",ULTRAPU,"ULTRA PURE",0016002,2019-11-11,6500,6482,18,$2.2800,$41.04
031018,"CHEM - Denatured Alcohol",ULTRAPU,"ULTRA PURE",0015928,2019-10-16,6500,6497,3,$2.2800,$6.84
031018,"CHEM - Denatured Alcohol",ULTRAPU,"ULTRA PURE",0015849,2019-09-17,6800,6756,44,$2.2800,$100.32
031018,"CHEM - Denatured Alcohol",ULTRAPU,"ULTRA PURE",0015812,2019-09-10,6500,6487,13,$2.2800,$29.64
031018,"CHEM - Denatured Alcohol",ULTRAPU,"ULTRA PURE",0015637,2019-07-18,6500,6487,13,$2.2800,$29.64
031018,"CHEM - Denatured Alcohol",ULTRAPU,"ULTRA PURE",0014517,2018-08-20,6500,6496,4,$2.4400,$9.76
031018,"CHEM - Denatured Alcohol",ULTRAPU,"ULTRA PURE",0014331,2018-07-09,6500,6494,6,$2.4400,$14.64
031018,"CHEM - Denatured Alcohol",ADM,"ARCHER DANIEL MIDLAND COMPANY",0013227,2017-10-02,6500,6496,4,$2.5000,$10.00
031018,"CHEM - Denatured Alcohol",ADM,"ARCHER DANIEL MIDLAND COMPANY",0012922,2017-06-23,6500,6499,1,$2.5000,$2.50
031018,"CHEM - Denatured Alcohol",ADM,"ARCHER DANIEL MIDLAND COMPANY",0012922,2017-06-23,6500,6499,1,$2.5000,$2.50
050000,"CHEM - PROPYLENE GLYCOL",THIRDCO,"THIRD COAST CHEMICALS",0023703,2025-04-25,5200,5189,11,$6.3145,$69.46
050000,"CHEM - PROPYLENE GLYCOL",THIRDCO,"THIRD COAST CHEMICALS",0023704,2025-04-25,5200,5199,1,$6.3145,$6.31
050000,"CHEM - PROPYLENE GLYCOL",ADM,"ARCHER DANIEL MIDLAND COMPANY",0023020,2024-11-04,5200,5164,36,$7.3447,$264.41
050000,"CHEM - PROPYLENE GLYCOL",ADM,"ARCHER DANIEL MIDLAND COMPANY",0022664,2024-08-01,5200,5180,20,$7.2576,$145.15
050000,"CHEM - PROPYLENE GLYCOL",ADM,"ARCHER DANIEL MIDLAND COMPANY",0022665,2024-08-01,5200,5162,38,$7.2581,$275.81
050000,"CHEM - PROPYLENE GLYCOL",ADM,"ARCHER DANIEL MIDLAND COMPANY",0020183,2022-09-07,22000,21981,19,$14.6886,$279.08
050000,"CHEM - PROPYLENE GLYCOL",ADM,"ARCHER DANIEL MIDLAND COMPANY",0020123,2022-08-17,5200,5166,34,$15.1226,$514.17
050000,"CHEM - PROPYLENE GLYCOL",DOWCHEM,"DOW CHEMICAL",0018746,2021-07-12,5210,5208,2,$8.0876,$16.18
050000,"CHEM - PROPYLENE GLYCOL",DOWCHEM,"DOW CHEMICAL",0018747,2021-07-12,5200,5189,11,$8.0020,$88.02
