Year,Rank,VendorNo,Vendor,TotalSpend,Top3Items
2024,1,GIBSON,"GIBSON CORRUGATED, LLC","$1,526,388.96","502402 - CARTON-6-1GAL W/W ($458,062) | 502402WS - CARTON-6-1GAL Wintersafe -50 ($88,603) | 604099 - CARTON-1x1Gal rig inner(un cer ($84,914)"
2024,2,CONSOLI,"CONSOLIDATED LABEL CO","$1,296,188.47","043810A2 - LABEL-ITW LOW COND V12 GAL BK ($48,181) | 31200A1 - LABEL-Wintersafe -50 V2 wrap l ($29,600) | 185-GF025CA2 - LABEL-PK G 25gr FR 25gr BK V2 ($23,929)"
2024,3,RIERDEN,"RIERDEN CHEMICAL & TRADING CO.","$1,172,942.21","050000G - CHEM - GLYCERIN ($1,172,942)"
2024,4,ADM,"ARCHER DANIEL MIDLAND COMPANY","$1,161,623.48","050000 - CHEM - PROPYLENE GLYCOL ($1,161,623)"
2024,5,HARCROS,"HARCROS CHEMICALS INC","$1,026,238.58","030025 - CHEM - OXALIC ACID ($183,556) | 030164 - CHEM - OGAPOL100- APS-271 Emul ($146,922) | 031013 - CHEM - Tomadol 91-8 ($142,957)"
2024,6,CALUMET,"CALUMET LUBRICANTS CO., L.P.","$910,338.72","100507TANKO - CHEM - Calumet 400-500 TANK O ($786,891) | 100507TANKB - CHEM - Calumet 400-500 TANK B ($71,432) | 100507TANKD - CHEM - Calumet 400-500 TANK D ($52,014)"
2024,7,MOTIVA,"MOTIVA ENTERPRISES LLC","$786,893.74","100421G2 - CHEM - MOTIVA STAR 12     (ara ($530,435) | 100427 - CHEM - MOTIVA STAR 4     (aram ($99,357) | 100449 - CHEM - Ultra S8 Group III 8cst ($87,772)"
2024,8,CLEANFR,"CLEAN FUEL RESOURCES LLC","$735,150.00","PP100433 - CHEM - Pre-purch Enzyme Conc ($735,150)"
2024,9,ADVANCE,"ADVANCED POLYMER","$704,619.98","240084 - CHEM - Provectupel 821 (for so ($185,046) | 030119 - CHEM - Advapel 851 ($129,104) | 030164 - CHEM - OGAPOL100- APS-271 Emul ($73,081)"
2024,10,BRENLUB,"BRENNTAG LUBRICANTS LLC","$700,475.72","100450 - CHEM - Infineum S956 ($202,178) | 100560 - CHEM - INFINEUM S810 ($183,622) | 100457 - CHEM - Pure Performance 70N ($132,947)"
2024,11,MUEHLST,MUEHLSTEIN,"$605,469.00","020001 - RESIN - HDPE ($605,469)"
2024,12,CKSPACK,"CKS PACKAGING, INC.","$547,498.82","100116 - BOTTLE-8oz STARTRON TRNSBLUE ($264,921) | 100113 - BOTTLE-32oz OIL QUART-BLUE ($107,479) | PET022019BLANK - BOTTLE-22oz White PET NO S spr ($78,140)"
2024,13,POLYONE,"FORMERRA (AVIENT)","$503,250.79","020003 - RESIN - FG-9209 clear pvc virg ($265,619) | 020002 - RESIN - GP-9114 White pvc virg ($237,631)"
