id,blend_item_code,step_number,step_description,component_item_code
13,052004N,4,Charge vessel with PG.,50000.0
15,052004N,6,Add MetalGuard 81,50015.0
17,052004N,8,Add Chromatint Green 0218,240011.0
18,052004N,9,Add Uranine C Dye (Keystone),240087.0
20,052004N,11,Add Phosphoric Acid,240079.0
28,052004PURPLE,4,Charge vessel with PG.,50000.0
30,052004PURPLE,6,Add MetalGuard 81,50015.0
31,052004PURPLE,7,Add L84020 LIQUITINT VIOLET 0974,50012.0
32,052004PURPLE,8,Add Phosphoric Acid,240079.0
80,114000Orange.B,4,Charge vessel with DI water.,30143.0
82,114000Orange.B,6,Add Sodium Metasilcilate,240073.0
83,114000Orange.B,7,Add Dissolvine E-39,30019.0
84,114000Orange.B,8,Add Glycol Ether EB,30012.0
85,114000Orange.B,9,Add Glycol Ether DB,31031.0
86,114000Orange.B,10,Add DDBSA,30010.0
87,114000Orange.B,11,Add 91-8,31013.0
88,114000Orange.B,12,Add Citrus Fragrance #40692,31050.0
89,114000Orange.B,13,Add APS-342,31036.0
211,19901.B,4,Charge vessel with DI water.,30143.0
214,19901.B,7,Add CAUSTIC SODA 50%.,50007.0
215,19901.B,8,Add Keyacid Red 40F,500313.0
223,19902.B,4,Charge vessel with DI water.,30143.0
224,19902.B,5,Set aside 8 gal DI water in two clean buckets (4 gal per bucket).,30143.0
227,19902.B,8,Add CHEM - HYDRCHLRIC ACID 20-23 B.,30050.0
230,19902.B,11,Add CHEM - SODIUM SULFITE.,500318.0
232,19902.B,13,Add CHEM - Tomadol 91-8.,31013.0
233,19902.B,14,Add CHEM - DOW PG Carbo Wax 300.,500314.0
234,19902.B,15,Dissolve DYE-KEYACID TARTRAZINE 801-023 into a bucket with 4gal of DI water.,500315.0
235,19902.B,16,Add DYE-KEYACID TARTRAZINE 801-023 water mixture. ,500315.0
236,19902.B,17,Dissolve DYE-PYLAM AMARANTH RED LX-9944 into a bucket with 4gal of DI water.,500317.0
237,19902.B,18,Add DYE-PYLAM AMARANTH RED LX-9944 water mixture. ,500317.0
245,19903USA.B,4,Charge vessel with DI water,30143.0
248,19903USA.B,7,Add sodium hydroxide.,50007.0
249,19903USA.B,8,Add Keyacid Red 40F.,500313.0
434,29200.B,4,Charge vessel with PAO - SpectraSyn 6,100462.0
436,29200.B,6,Add PAO - SpectraSyn 100,100451.0
437,29200.B,7,Add Synnesstic 5,100464.0
438,29200.B,8,Add IPAC 9833L ,100426.0
446,29700.B,4,Charge vessel with Ultra S4,100458.0
447,29700.B,5,Add Ultra S8,100449.0
448,29700.B,6,Add Pao 40,100450.0
449,29700.B,7,Add Infineum S956,100422.0
450,29700.B,8,Infineum SV 265,100424.0
451,29700.B,9,Infineum V 385,100422.0
484,300355.B,4,Charge vessel with DI Water,30143.0
487,300355.B,7,Add Busan 1264,30146.0
488,300355.B,8,Add Wintrol MBT-50Na ,30165.0
489,300355.B,9,Add Bitrex Solution,100511.0
490,300355.B,10,Add Ethylene Glycol,601015.0
498,300357.B,4,Charge vessel with EG.,601015.0
500,300357.B,6,Add DI Water,30143.0
502,300357.B,8,Add DKP,30066.0
503,300357.B,9,Add Busan 1264,30146.0
504,300357.B,10,Add Chromatint 0218 Green Dye,240011.0
505,300357.B,11,Add Uranine Yellow Dye,240087.0
506,300357.B,12, Add Bitrex Solution,100511.0
548,33200CONC.B ,4,Charge vessel with PG.,50000.0
551,33200CONC.B ,8,Add DYE-CHROMATINT BLUE 0408,30112.0
552,33200CONC.B ,9,Add DYE - Chromatint Red 1887,50017.0
553,33200CONC.B ,10,Add BTNN80,30176.0
561,33200DIL.B,4,Charge vessel with PG.,50000.0
564,33200DIL.B,7,Add DYE-CHROMATINT BLUE 0408,30112.0
565,33200DIL.B,8,Add DYE - Chromatint Red 1887,50017.0
566,33200DIL.B,9,Add BTNN80,30176.0
567,33200DIL.B,10,Add DI Water,30143.0
576,33200DILRED.B,4,Charge vessel with PG.,50000.0
579,33200DILRED.B,8,Add Chromtech Red 40 C73024X,50008.0
580,33200DILRED.B,9,Add BTNN80 slowly. ,30176.0
581,33200DILRED.B,10,Add DI Water,30143.0
612,33500.B,4,Charge vessel with EG.,601015.0
614,33500.B,6,Add Liquidtint Yellow AF Dye,30122.0
